hilane,	हिलाने,	हिलने
kabr,	कबर,	कब्र
likhkar,	लिखकर,	लिखकर
nichalaa,	निचला,	निचला
dubna,	दूबना,	डूबना
oklahoma,	उकलोहोमा,	ओकलाहोमा
swap,	स्वप,	स्वैप
haraval,	हरावल,	हरावल
flin,	फ्लिन,	फ्लिन
dubona,	दूबोना,	डुबोना
pushpa,	पुष्प,	पुष्पा
sarhind,	सरहिंद,	सरहिंद
sim,	सिम,	सिम
brijesh,	ब्रिजेश,	बृजेश
khajarana,	खजरना,	खजराना
samuels,	सैम्यूल्स,	सैम्युल्स
anuprayogon,	अनुप्रयोगों,	अनुप्रयोगों
uthaakar,	उठाकर,	उठाकर
ghisai,	घिसाई,	घिसाई
faisla,	फैसला,	फ़ैसला
proof,	प्रूफ,	प्रूफ
sure,	सुरे,	श्योर
ashktta,	अशक्तता,	अशक्तता
atmaen,	आत्माएं,	आत्माएं
routing,	रुटिंग,	रूटिंग
janahani,	जनहानी,	जनहानि
samprti,	संपर्ति,	संप्रति
badhaataa,	बढ़ाता,	बढ़ाता
ghumaan,	घुमान,	घुमाण
pushkarna,	पुष्करण,	पुष्करणा
ganpati,	गंपती,	गणपति
adani,	अदानी,	अदाणी
sanskritiyon,	संस्कृतियों,	संस्कृतियों
ekthi,	इक्ठी,	इकठ्ठी
ravel,	रेवल,	रवैल
bhavishya,	भविष्य,	भविष्य
lakshyon,	लक्ष्यों,	लक्ष्यों
madaura,	मदौरा,	मढ़ौरा
banam,	बनम,	बनाम
rayan,	रायन,	रयान
chhuptaa,	छुपता,	छुपता
mauritious,	मॉरीशश,	मॉरिशस
solicitor,	सॉलिसिटर,	सॉलिसिटर
vibram,	विब्राम,	विभ्रम
teeron,	टीरों,	तीरों
jai,	जाई,	जय
mahanirdeshak,	महानिर्देषक,	महानिदेशक
simi,	सिमी,	सिमी
nitya,	नित्य,	नित्या
bhishm,	भिष्म,	भीष्म
bostan,	बोस्तान,	बॉस्टन
picture,	पिक्चर,	पिक्चर
teap,	टीप,	टिप
talawe,	तलावे,	तलवे
dhairyawan,	धैर्यवान,	धैर्यवान
rajma,	रजमा,	राजमां
pilepan,	पिलेपन,	पीलेपन
kamaate,	कमाते,	कमाते
khatakti,	खटकती,	खटकती
vastavik,	वास्तविक,	वास्तविक
naukri,	नौकरी,	नोकरी
jvar,	ज्वर,	ज्वार
rangte,	रंगते,	रंगते
skala,	स्काला,	स्काला
vaigyanikata,	वैज्ञानिकता,	वैज्ञानिकता
kpada,	कपड़ा,	कपड़ा
maheman,	महेमन,	मेहमान
chee,	ची,	ची
zuban,	जुबान,	ज़ुबान
langaron,	लंगारों,	लंगरों
gomake,	गोमके,	गोमके
blosam,	ब्लॉसम,	ब्लॉसम
maddy,	मद्दी,	मैडी
aakhet,	आखेत,	आखेट
swachalit,	स्वचालित,	स्वाचालित
jatati,	जतती,	जताती
spma,	ससपीएमए,	सोमा
puranpur,	पुराणपुर,	पूरनपुर
maang,	मांग,	मांग
faansi,	फांसी,	फांसी
yojanaye,	योजनाए,	योजनाएं
maulviyon,	मौलवियों,	मौलवियों
jogging,	जॉगिंग,	जॉगिंग
lalkarata,	ललकराता,	ललकारता
nora,	नोरा,	नोरा
jinee,	जीनी,	जिनी
lavasa,	लवासा,	लवासा
achyut,	अच्युत,	अच्युत
antrmukh,	अंतर्मुख,	अंतर्मुख
ghumakkadi,	घुमक्कड़ी,	घुमक्कड़ी
purzon,	पूर्जों,	पुर्जों
vershan,	वर्षण,	वर्शन
gowmutra,	गोमुत्र,	गौमूत्र
kasrat,	कसरत,	कसरत
zulmon,	जुल्मों,	जुल्मों
vidhaaein,	विधाएं,	विद्याएं
valve,	वाल्वे,	वाल्व
rate,	राते,	रेत
ankor,	अंकोर,	अंकोर
padadhikari,	पदाधिकारी,	पदाधिकारी
andhapan,	अंधपन,	अंधापन
maratha,	माराठा,	मराठा
blossom,	ब्लॉसम,	ब्लॉसम
narsanharon,	नरसंहारों,	नरसंहारों
destination,	डिस्टीनेशन,	डेस्टिनेशन
gandha,	गंधा,	गंध
shaun,	शौन,	शॉन
chor,	चोर,	चोर
sanskrutiyon,	संस्कृतियों,	संस्कृतियों
jalagati,	जलगती,	जलगति
khinchkar,	खींचकर,	खींचकर
bhrant,	भ्रांत,	भ्रांत
benis,	बेनिस,	बेनिस
verbal,	वर्बल,	वर्बल
devi,	देवी,	देवी
ghasi,	घासी,	घासी
pijja,	पिजजा,	पिज्जा
palatne,	पलतने,	पलटने
ubuntu,	उबुंतु,	उबंटू
kaasht,	काष्ट,	काश्त
bantane,	बंटाने,	बंटने
speller,	स्पेलर,	स्पेलर
tungnath,	तूंगनाथ,	तुंगनाथ
kundal,	कुंडल,	कुंडल
aahnaan,	आहनान,	आह्नान
farmic,	फर्मिक,	फार्मिक
puraane,	पुराने,	पुराने
chikitsak,	चिकित्सक,	चिकित्सक
raaji,	राजी,	राजी
anishwarwadi,	अनिश्वर्वादी,	अनीश्वरवादी
kahane,	कहाने,	कहने
shayak,	शायक,	शायक
nasim,	नसीम,	नसीम
pakayen,	पकाएं,	पकाएं
snickers,	स्निकर्स,	स्नीकर्स
dhtuen,	ध्तुएं,	धातुएं
sliders,	स्लीडर्स,	स्लाइड्स
atthas,	अत्थस,	अट्टहास
deshke,	देशके,	देशके
angarak,	अंगरक,	अंगारक
propellent,	प्रॉपरलेंट,	प्रोपेलेंट
dhamm,	धम्म,	धम्म
teekamgarh,	तीकामगढ़,	टीकमगढ़
siyaha,	सियाहा,	सियाह
mukhyamantri,	मुख्यमंत्री,	मुख्यमंत्री
bahuchara,	बहुचरा,	बहुचरा
avantipur,	आवंतीपुर,	अवंतिपुर
celery,	सीलरी,	सैलरी
samanwayaka,	समन्वयका,	समन्वयक
upakhyanon,	उपख्यानों,	उपाख्यानों
bhabhoot,	भभूत,	भभूत
jeenon,	जीनों,	जीनों
racing,	रेसिंग,	रेसिंग
dikhaain,	दिखाएं,	दिखाईं
rakhe,	रखे,	राखे
prashaasanik,	प्रशासनिक,	प्रशासनिक
boliye,	बोलिय,	बोलिए
kuposhit,	कुपोषित,	कुपोषित
cricketing,	क्रिकेटिंग,	क्रिकेटिंग
tahi,	तही,	ताहि
manto,	मानतो,	मंटो
risne,	रिसने,	रिसने
avsthayen,	अवस्थाएं,	अवस्थाएं
mejbaan,	मेजबान,	मेज़बान
mave,	मावे,	मावे
praneet,	प्रणीत,	प्रनीत
tarash,	तराश,	तराश
daglas,	दालस,	डगलस
beast,	बेस्ट,	बीस्ट
bharatanatyam,	भारातनात्म,	भरतनाट्यम्
end,	एंड,	ऐंठ
bhugta,	भुगता,	भुगता
bhumi,	भूमि,	भुमि
lochdar,	लोचदार,	लोचदार
soma,	सोमा,	सोमा
manchit,	मांछित,	मंचित
swarupon,	स्वरूपों,	स्वरुपों
pran,	प्राण,	प्राण
hamala,	हमाला,	हमला
langda,	लंगड़ा,	लंगड़ा
laata,	लाता,	लाता
vruton,	वृतों,	वृत्तों
dhndhe,	ढंधे,	धंधे
slaaidon,	स्लाइडों,	स्लाइडों
kankad,	कंकड़,	कंकर
lahlahati,	लहलाहती,	लहलहाती
bahawalpur,	बहवालपुर,	बहावलपुर
watanukoollan,	वातनुकूलान,	वातानुकूलन
brok,	ब्रॉक,	ब्रोक
dhasmaanaa,	धस्माना,	धस्माना
leedaron,	लीदारों,	लीडरों
theaters,	थीएटर्स,	थियेटर्स
shujaat,	शुजात,	शुजात
vaishnodevi,	वैश्नोदेवी,	वैष्णोदेवी
suneyga,	सुनेगा,	सुनेगा
man,	मान,	मैन
psv,	पीएसवी,	पीएसवी
saraahi,	सराही,	सराही
sisva,	सिस्वा,	सिसवा
kahaniyon,	कहानियों,	कहानियों
welder,	वेल्डर,	वेल्डर
chetti,	चेत्ती,	चेट्टी
tapuon,	तापूओं,	टापुओं
trijta,	तृजता,	त्रिजटा
duke,	डूके,	ड्यूक
dark,	डर्क,	डॉर्क
peelepan,	पीलेपन,	पीलेपन
pace,	पेस,	पेस
classen,	क्लासेन,	क्लासें
aawaazen,	आवाजें,	आवाज़ें
adhyayanrat,	अध्ययनरात,	अध्ययनरत
samahaar,	समाहार,	समाहार
rak,	रक,	राक
chikitsakon,	चिकित्सकों,	चिकित्सकों
tarashay,	तर्शय,	तराशे
bayern,	बेयर्न,	बायर्न
budwig,	बुड़विग,	बुडविग
sachidanand,	सचिचानंद,	सच्चिदानंद
amanathi,	अमानाथी,	अमानती
kisani,	किसनी,	किसानी
bakhshne,	बख्षने,	बख्शने
sherawat,	शेरावत,	सहरावत
shelling,	शेलिंग,	शेलिंग
aakash,	आकाश,	आकाश
deshkal,	देशकाल,	देशकाल
mauma,	मौमा,	मौमा
fawaara,	फवारा,	फव्वारा
aakaash,	आकाश,	आकाश
janganna,	जागंना,	जनगणना
foda,	फोडा,	फोड़ा
lte,	लटटे,	एलटीई
dahan,	दहान,	दहन
aadhin,	आधीन,	आधीन
awazon,	आवाजों,	आवाज़ों
mem,	मेम,	मेम
anishwarvadi,	अनिश्वर्वादी,	अनीश्वरवादी
ujback,	उजबैक,	उज़्बेक
marriage,	मैरिज,	मैरेज
eesa,	ईसा,	एेसा
ayodhyanath,	अयोध्यनाथ,	अयोध्यानाथ
vyabhichari,	व्यभभिचारी,	व्यभिचार
dipika,	दिपिका,	दीपिका
amrohi,	अमरोही,	अमरोही
lanchar,	लांचर,	लांचर
napne,	नापने,	नापने
fyuji,	फ्यूजी,	फ्यूजी
navvadhu,	नववाधु,	नववधू
harijan,	हरिजन,	हरिजन
borivali,	बोरीवाली,	बोरीवली
ghumakkdon,	घुमक्कड़ों,	घुमक्कड़ों
tansen,	तांसेन,	तानसेन
chuka,	चूका,	चौका
chenkein,	चेंकें,	छींके
bilae,	बिलाए,	बिलाई
chauguni,	चौगुनी,	चौगुनी
katthaii,	कट्ठाई,	कत्थई
jad,	जाद,	जड़
sapne,	सपने,	सपने
sanasthita,	संस्थिता,	संस्थिता
mhajan,	महाजन,	महाजन
rosario,	रोसरियो,	रोसारियो
pagabadha,	पगबबधा,	पगबाधा
bhola,	भोला,	भोला
pardesi,	परदेसी,	परदेसी
tarkon,	तर्कों,	तर्कों
ripon,	रिपों,	रिपन
dork,	डोर्क,	डॉर्क
jaun,	जौन,	जौं
fodon,	फोड़ों,	फोड़ों
sataane,	सताने,	सताने
vimarsh,	विमार्श,	विमर्श
greest,	ग्रीस्ट,	ग्रीस्ट
rehana,	रहना,	रेहाना
janajagran,	जनजाग्रण,	जनजागरण
sudhaargrah,	सुधारग्रह,	सुधारगृह
posta,	पोस्टा,	पोस्ता
alliance,	एलियंस,	एलियंस
krantiyon,	क्रांतियों,	क्रांतियों
mejbani,	मेजबानी,	मेज़बानी
vayana,	वायना,	वायना
kpo,	कपपोओ,	केपीओ
sargana,	सरगना,	सरगना
jagayega,	जगाएगा,	जगाएगा
vigyan,	विज्ञान,	विज्ञान
dhundhata,	ढूंढता,	ढूंढता
sonpne,	सौंपने,	सौंपने
raajasva,	राजस्व,	राजस्व
log,	लॉग,	लोग
sanskar,	संस्कार,	संस्कार
bholu,	भोलू,	भोलू
ovum,	ओवम,	ओवम
susanskrit,	सुसंस्कृत,	सुसंस्कृत
apnani,	अपनानी,	अपनानी
rugna,	रूग्ण,	रुग्ण
aamod,	आमोद,	आमोद
dhokebaaj,	धोखेबाज,	धोखेबाज
nigar,	निगर,	निगर
zawar,	जावर,	जावर
pahnakar,	पहनकर,	पहनाकर
racer,	रेसर,	रेसर
ank,	अंक,	अंक
reja,	रेजा,	रेजा
chennai,	चेननाई,	चेन्नई
samjhungaa,	समझुंगा,	समझूंगा
chero,	चेरो,	चेरो
bhukh,	भूख,	भूख
mukarte,	मुकरते,	मुकरते
nazraane,	नजराने,	नजराने
locket,	लॉकेट,	लॉकेट
agyat,	अज्ञात,	अज्ञात
basin,	बसीन,	बेसिन
physician,	फिजिशन,	फिजिशियन
bhurbhura,	भुरभुरा,	भुरभुरा
symons,	सायमोंस,	साइमंस
ligar,	लिगर,	लिगर
westinghouse,	वेस्टिंघाइज,	वेस्टिंगहाउस
mate,	माते,	मेट
uttara,	उतरा,	उत्तरा
ijaajat,	इजाजत,	इजाजत
udakishunganj,	उदकिशुंगन,	उदाकिशुनगंज
flesh,	फ्लेश,	फ्लेश
talawon,	तलावों,	तलवों
thahrane,	ठहराने,	ठहरने
apariharya,	अपरिहार्य,	अपरिहार्य
dhokebaaz,	धोखेबाज,	धोखेबाज
amod,	अमोद,	आमोद
saima,	सैमा,	साइमा
khani,	खानी,	खनि
nominate,	नॉमिनेट,	नॉमिनेट
tani,	तानी,	तनी
erika,	एरिका,	एरिका
angraji,	अंग्रजी,	अंग्रज़ी
jvaaron,	ज्वारों,	ज्वारों
dhoondh,	ढूंध,	ढूंढ
virodh,	विरोध,	विरोध
aabru,	आबरू,	आबरू
farheen,	फरहीन,	फरहीन
phabti,	फबती,	फब्ती
allah,	अल्लाह,	आल्हा
susanskrut,	सुसंसकृत,	सुसंस्कृत
haqeeqat,	हकीकत,	हकीकत
udaane,	उड़ाने,	उड़ाने
sawaal,	सवाल,	सवाल
falta,	फलता,	फलता
root,	रूट,	रूट
karykartaon,	कार्यकर्ताओं,	कार्यकर्ताओं
item,	इटेम,	आइटम
ballabh,	बल्लाभ,	बल्लभ
bangash,	बंगाश,	बंगश
sahakalakar,	सहकालकर,	सहकलाकार
kundaliya,	कुंडलीय,	कुंडलियाँ
racketeer,	रैकेटीर,	रैकेटियर
rahmat,	रहमत,	रहमत
vishnu,	विष्णु,	विष्णु
angadh,	अंगढ़,	अनगढ़
shooting,	शूटिंग,	शुटिंग
bagh,	बाघ,	बाग
dhundh,	ढूंध,	ढूंढ
entone,	इंटोन,	एंटोन
urvarata,	उरवारता,	उर्वरता
pisaai,	पिसाई,	पिसाई
maange,	मांगे,	मांगे
chadar,	चादर,	चादर
dhunaai,	धुनाई,	धुनाई
bastiyon,	बस्तियों,	बस्तियों
doranda,	डोरंडा,	डोरंडा
ramraj,	रामराज,	रामराज
badhaaon,	बाधाओं,	बाधाओं
jayadayal,	जायदयल,	जयदयाल
insurance,	इनसररेंस,	इंश्योरेंस
sahkalakar,	सहकालकर,	सहकलाकार
megapixel,	मैगपीक्ल,	मेगापिक्सल
sohaval,	सोहवल,	सोहावल
chhetthri,	छेत्ररी,	छेत्री
motive,	मोटिवे,	मोटिव
chandramaon,	चंद्रामाओं,	चंद्रमाओं
veeresh,	वीरेश,	वीरेश
maariya,	मारिया,	मारिया
pipli,	पिपली,	पिपली
sunasir,	सुनासिर,	सुनासीर
lemon,	लेमोन,	लेमन
avarnata,	अवर्णता,	अवर्णता
khanikarmi,	खनीकर्मी,	खनिकर्म
arpit,	अर्पित,	अर्पित
phode,	फोड़े,	फोड़े
pushpa,	पुष्प,	पुष्प
kaav,	काव,	काव
kurmi,	कुर्मी,	कुर्मी
strokes,	स्ट्रोक्स,	स्ट्रोक्स
udan,	उड़ान,	उड़ान
pathshalayen,	पाठशालाएं,	पाठशालाएं
hisham,	हिशम,	हिशाम
ipad,	ईपाद,	आईपैड
sanyog,	संयोग,	संयुक्त
bull,	बुल,	बुल
sochane,	सोचने,	सोचने
bahaav,	बहाव,	बहाव
vikramjeet,	विक्रमजीत,	विक्रमजीत
jankaron,	जानकरों,	जानकारों
putla,	पुटला,	पुतला
antony,	एंटोनी,	एंटोनी
bagichi,	बगीची,	बगीची
luxor,	ल्कूसर,	लक्सर
biggest,	बिग्स्ट,	बिगेस्ट
ishaaq,	इशाक,	इशाक
varna,	वर्ण,	वर्ण
yashpal,	याश्पल,	यशपाल
uchhalane,	उछलने,	उछालने
saraha,	सराहा,	सराहा
isht,	ईष्ट,	इष्ट
ditaa,	दीता,	दिता
udaa,	उड़ा,	उदा
sevai,	सेवाई,	सेंवई
mainan,	मैनन,	मैनन
drupad,	द्रुपद,	ध्रुपद
vatanukulan,	वातानुकलन,	वातानुकूलन
mubarakpur,	मुबरकपुर,	मुबारकपुर
swaarthparak,	स्वार्थपर्क,	स्वार्थपरक
tapoowo,	टापूवो,	टापुओं
sim,	सिम,	सीम
kritika,	कृतिका,	कृतिका
badhotari,	बधोतरी,	बढ़ोतरी
khuda,	खुदा,	खुदा
tareeko,	तरीको,	तरीको
finger,	फिंगर,	फिंगर
ravish,	रविष,	रविश
tau,	ताऊ,	टाऊ
offshor,	ऑफ्सर,	ऑफशोर
patili,	पतिली,	पतीली
dubana,	दूबना,	डूबना
alphabet,	अल्फाबेट,	अल्फ़ाबेट
mehamaan,	मेहमान,	मेहमान
suta,	सूता,	सुता
udane,	उड़ने,	उड़ाने
airway,	एयरवे,	एयरवे
jainon,	जैनों,	जैनों
jaatakon,	जातकों,	जातकों
bhookh,	भूख,	भूख
dravani,	द्रवानी,	डरावनी
lakiron,	लकीरों,	लकीरों
lagna,	लग्न,	लगना
deepan,	दीपान,	दीपन
swa,	स्वा,	स्वा
chadhne,	चढ़ने,	चढ़ने
tagade,	टगड़े,	तगड़े
muhavare,	मुहावरे,	मुहावरे
ghataya,	घटाया,	घटाया
saanketika,	सांकेतिका,	सांकेतिक
narbhakshi,	नरभक्षि,	नरभक्षी
population,	पॉपुलेशन,	पापुलेशन
reson,	रेसोन,	रेसों
prathmiki,	प्राथमिकी,	प्राथमिकी
diphtheria,	दिपथथेरिया,	डिप्थीरिया
vaahikayen,	वाहिकाएं,	वाहिकाएं
duvidhaaen,	दुविधाएं,	दुविधाएं
jerry,	जेरी,	जैरी
dangerous,	डेंगरूस,	डेंजरस
damale,	दमले,	दामले
weldor,	वेल्डर,	वेल्डर
prapti,	प्रप्ति,	प्राप्ती
karghe,	कार्घे,	करघे
vartmaan,	वर्तमान,	वर्तमान
mogali,	मोगली,	मोगली
grist,	ग्रिस्ट,	ग्रीस्ट
manipal,	मनिपाल,	मणिपाल
moshe,	मोशे,	मोशे
warrior,	वारियर,	वारियर्स
langdon,	लांगड़ों,	लैंगडन
nabj,	नब्ज,	नब्ज़
gatishilata,	गतिशीलता,	गतिशीलता
updraviyon,	उपद्रवियों,	उपद्रवियों
fefada,	फेफड़ा,	फेफड़ा
pilot,	पिलोट,	पायलट
uthen,	उठाएं,	उठें
divyata,	दिवयाता,	दिव्यता
rowan,	रोवान,	रोवन
khattapan,	खट्टापन,	खट्टापन
bhaskar,	भस्कर,	भास्कर
heeraganj,	हीरगंज,	हीरागंज
polymer,	पॉलीमर,	पॉलिमर
recreation,	रिक्रेशन,	रिक्रिएशन
alps,	एल्प्स,	ऐल्प्स
dredger,	ड्रेजर,	ड्रेजर
dhamkata,	धमकता,	धमकाता
vipritata,	विपृतता,	विपरीतता
jhuthlane,	झुठलाने,	झुठलाने
dhamma,	धम्मा,	धम्मा
vitthal,	वित्थल,	विट्ठल
trimasik,	त्रिमासिक,	त्रैमासिक
urdhav,	उर्धाव,	ऊर्ध्व
faaf,	फाफ,	फाफ
paathyakramon,	पाठ्यक्रमों,	पाठ्यक्रमों
subhaay,	सुभाय,	सुभाय
jamaya,	जमाया,	जमाया
sanskaar,	संस्कार,	संस्कार
taapti,	तापती,	ताप्ती
ulahna,	उल्हाना,	उलाहना
egmore,	एजमोर,	एगमोर
praan,	प्राण,	प्राण
selfie,	सेल्फी,	सेल्फी
christian,	क्रिस्शियन,	क्रिश्चयन
dangon,	डांगों,	दंगों
lakshya,	लक्ष्य,	लक्ष्य
rupak,	रुपक,	रूपक
lanset,	लैंसेट,	लैंसेट
tasir,	तसीर,	तासीर
sweet,	स्वीत,	स्वीट
ritual,	रिचुल,	रिचुअल
jat,	जात,	जात
xm,	एकएसमी,	एक्सएम
najarandaaj,	नजरअंदाज,	नजरंदाज
janjaagran,	जनजाग्रण,	जनजागरण
kathor,	कथोर,	कठोर
jaghaega,	जगाएगा,	जगाएगा
nikalegi,	निकलेगी,	निकलेगी
dikhaai,	दिखाई,	दिखाईं
asmanye,	असमान्य,	असमान्य
bajuon,	बजूओं,	बाजुओं
falne,	फलने,	फलने
breed,	ब्रीड,	ब्रीद
ishaaraa,	इशारा,	इशारा
chipakane,	चिपकने,	चिपकने
sevakon,	सेवकों,	सेवकों
harpaal,	हरपाल,	हरपाल
ganthon,	गंथों,	गांठों
chatushkoniya,	चतुषकोनीय,	चतुष्कोणीय
yatna,	यतना,	यत्न
navanagar,	नवानगर,	नवानगर
scanning,	स्केनिंग,	स्कैनिंग
aryika,	आर्याका,	आर्यिका
nandanvan,	नंदनवान,	नंदनवन
surinama,	सुरीनामा,	सूरीनाम
dhokhebaj,	धोखेबाज,	धोखेबाज
kalmein,	कलमें,	कलमें
wanshwad,	वांश्वद,	वंशवाद
pulmonary,	पुल्मोनरी,	पल्मोनरी
nauvahan,	नौवहान,	नौवहन
daravani,	दरवानी,	डरावनी
barsa,	बरसा,	बरसा
saimans,	सैमांस,	साइमंस
dhakaal,	ढकाल,	ढकाल
fatehgarh,	फतेहगढ़,	फतेहगढ़
dakhile,	दखीले,	दाखिले
vigyaani,	विज्ञानी,	विज्ञानी
valkkan,	वाक्कण,	वल्कन
malaar,	मलार,	मलार
samanjasya,	समनजजस्य,	सामंजस्य
mysore,	मैसूर,	मैसोर
pardaa,	परदा,	पर्दा
nega,	नेगा,	नेग
wajood,	वजूद,	वजूद
dita,	दीता,	दिता
barah,	बारह,	बारह
isayiyon,	ईसाइयों,	ईसाइयों
vaigyaanik,	वैज्ञानिक,	वैज्ञानिक
mhathir,	महातिर,	महाथिर
oxide,	ऑक्साइड,	ऑक्साइड
shringar,	श्रृंगार,	शृंगार
dhundhta,	ढूंढता,	ढूंढता
jajaon,	जजाओं,	जजों
dhyeywadi,	ध्येयवादी,	ध्येयवादी
roni,	रोनी,	रोनी
mehkane,	महकने,	महकने
siddhvat,	सिद्धवत,	सिद्धवट
jodo,	जोड़ो,	जोड़ो
moolchand,	मूलचंद,	मूलचंद
sanchalnon,	संचलनों,	संचालनों
singha,	सिंघा,	सिंहा
gujarata,	गुजरता,	गुजारता
saltanat,	सल्टनत,	सल्तनत
kazi,	काजी,	काजी
programmers,	प्रोग्रामर्स,	प्रोग्रामर्स
roomani,	रूमानी,	रुमानी
polishing,	पॉलिशिंग,	पॉलिशिंग
tankaar,	टंकार,	टंकार
kalapi,	कलापी,	कालपी
namdhari,	नामधारी,	नामधारी
melghat,	मेलघाट,	मेलघाट
sulzai,	सुलझाई,	सुलझाई
dam,	डम,	डम
vartaman,	वर्तमान,	वर्तमान
kaju,	काजू,	काजू
piki,	पीकी,	पिकी
hani,	हानी,	हानी
alba,	अल्बा,	अल्बा
nau,	ना,	नाऊ
pakshpaat,	पक्षपात,	पक्षपात
less,	लेस,	लैस
wed,	वेड,	वेड
kocchi,	कोची,	कोच्चि
satpal,	सत्पल,	सतपाल
mithya,	मिथया,	मिथ्या
mtake,	मटके,	एमटेक
bagabani,	बागाबानी,	बागबानी
garibi,	गरीबी,	गरीबी
junun,	जूनून,	जुनून
ranjkatha,	रंजकथ,	रंजकता
vadali,	वादाली,	वडाली
auchitya,	औचित्य,	औचित्य
sriram,	श्रीरम,	श्रीराम
parva,	पर्व,	परवा
mario,	मैरियो,	मारियो
nawanagar,	नवानगर,	नवानगर
pes,	पेस,	पेस
november,	नोवेबर,	नवंबर
ghoonsa,	घूंसा,	घूंसा
purvabhas,	पूर्वाभास,	पूर्वाभास
parafin,	पराफीन,	पैराफिन
nipatara,	निपटरा,	निपटारा
sprint,	स्प्रिंट,	स्प्रिट
avru,	अवृ,	अवरु
sevkon,	सेवकों,	सेवकों
maisor,	मैसर,	मैसोर
vibhajak,	विभाजक,	विभाजक
polimer,	पॉलीमर,	पॉलिमर
bagbani,	बागबानी,	बागबानी
dhunai,	धुनाई,	धुनाई
surana,	सुराना,	सुराणा
vaigyanikta,	वैज्ञानिकता,	वैज्ञानिकता
cradle,	क्रैडल,	क्रैडल
utaney,	उतने,	उतने
nanak,	नानक,	नानक
chhetr,	छेत्र,	छेत्र
colan,	कोलन,	कोलन
pale,	पाले,	पले
vishwasniiya,	विश्वस्नीय,	विश्वसनीय
ecuador,	इक्वाडर,	इक्वाडोर
rasayanon,	रसायनों,	रसायनों
augustustine,	आगस्टूस्टाइन,	अगस्टाइन
tapan,	तापान,	तपन
antarmukh,	अंतर्मुख,	अंतर्मुख
module,	मोडुले,	मॉड्यूल
thaharne,	ठहरने,	ठहरने
tughlakabad,	तुलकाकाबाद,	तुगलकाबाद
ekatthi,	इकट्ठी,	इकठ्ठी
sugamata,	सुगमता,	सुगमता
isaiyon,	ईसाइयों,	ईसाइयों
emi,	एमी,	एमी
favvare,	फववारे,	फव्वारे
testing,	टेस्टिंग,	टेस्टिंग
venkataraman,	वेंकटरमण,	वेंकटरमन
longewala,	लोंगेवाला,	लोंगोवाल
devaapur,	देवापुर,	देवापुर
jhalla,	झल्ला,	झल्ला
packard,	पैकार्ड,	पैकर्ड
pharase,	फरासे,	फरसे
roosevelt,	रूज़वेल्ट,	रुजवेल्ट
ashanka,	आशंका,	आशंका
pagalaa,	पगला,	पगला
lurhakate,	लुढ़कते,	लुढ़कते
daratey,	दरते,	डराते
aradas,	अरदास,	अरदास
bk,	बीके,	बीके
douglas,	डॉगलस,	डगलस
sanvedikaran,	संवेदीकरण,	संवेदीकरण
paratrooper,	पैरत्रूपर,	पैराट्रूपर
reduction,	रिडक्शन,	रिडक्शन
anchahe,	अंचाहे,	अनचाहे
taiboo,	तैबू,	टैबू
jeevraaj,	जीवराज,	जीवराज
durniti,	दूर्णिति,	दुर्नीति
padhata,	पढ़ता,	पढ़ाता
hui,	हुई,	हुईं
dikhai,	दिखाई,	दिखाईं
hadauti,	हदौती,	हाड़ौती
chanan,	चान,	चानन
mahakane,	महकने,	महकने
maisachusets,	मैसाचुसेट्स,	मैसाचुसेट्स
farukhnagar,	फरूखनगर,	फर्रूखनगर
jeevniyaan,	जीवनियां,	जीवनियां
pehnakar,	पहनाकर,	पहनाकर
baraat,	बारात,	बरात
antmurkh,	अंतर्मख,	अंतर्मुख
pahnaati,	पहनाती,	पहनाती
killi,	किल्ली,	किल्ली
tark,	तर्क,	तर्क
pisa,	पीसा,	पीसा
faisala,	फैसला,	फ़ैसला
favvaron,	फववरों,	फव्वारों
vaishakh,	वैशाख,	वैशाख
ikattha,	इकट्ठा,	इकट्ठा
aster,	एस्टर,	एस्टर
granite,	ग्रेनिट,	ग्रेनाइट
deepika,	दीपिका,	दीपिका
aazmaanaa,	आजमाना,	आजमाना
masaledar,	मसलेदार,	मसालेदार
chipkane,	चिपकाने,	चिपकने
tip,	टीप,	टिप
sanketik,	संकेतिक,	सांकेतिक
beesavaan,	बीसवान,	बीसवां
gujara,	गुजरा,	गुजारा
pehnate,	पहनाते,	पहनते
pardesiyon,	परदेसियों,	परदेसियों
chhootane,	छूटने,	छूटने
buzy,	बुजी,	बिजी
tughlaq,	तुगलाक,	तुगलक
adhyayanarat,	अध्ययनरर्त,	अध्ययनरत
shrart,	श्रार्त,	शरारत
avegyanik,	अवेज्ञानिक,	अवैज्ञानिक
piega,	पीएगा,	पिएगा
yari,	यारी,	यारी
nagarik,	नागरिक,	नागारिक
rosariyo,	रोसरियों,	रोसारियो
badhav,	बाधाव,	बढ़ाव
namkin,	नमकीन,	नमकीन
friendship,	फ्रेंडशिप,	फ्रेंडशिप
weeks,	वीक्स,	वीक्स
pataakshep,	पटाक्षेप,	पटाक्षेप
arya,	आर्य,	आर्यों
chhetri,	छेत्री,	छेत्री
chidhte,	चिढ़ते,	चिढ़ते
sipahi,	सिपाही,	सिपाही
dabolim,	डबोलिम,	डाबोलिम
ikatthi,	इकट्ठी,	इकठ्ठी
neechaaee,	नीचाई,	नीचाई
bag,	बाग,	बाग
jamaeya,	जमाए,	जमाया
ved,	वेड,	वेड
